[0.000000] (-) TimerEvent: {}
[0.000231] (-) JobUnselected: {'identifier': 'Project'}
[0.000288] (-) JobUnselected: {'identifier': 'adi_driver'}
[0.000458] (-) JobUnselected: {'identifier': 'amathutils_lib'}
[0.000570] (-) JobUnselected: {'identifier': 'as'}
[0.000757] (-) JobUnselected: {'identifier': 'astar_search'}
[0.000799] (-) JobUnselected: {'identifier': 'autoware_bag_tools'}
[0.000818] (-) JobUnselected: {'identifier': 'autoware_build_flags'}
[0.000849] (-) JobUnselected: {'identifier': 'autoware_camera_lidar_calibrator'}
[0.000866] (-) JobUnselected: {'identifier': 'autoware_can_msgs'}
[0.000901] (-) JobUnselected: {'identifier': 'autoware_config_msgs'}
[0.001574] (-) JobUnselected: {'identifier': 'autoware_connector'}
[0.001632] (-) JobUnselected: {'identifier': 'autoware_driveworks_gmsl_interface'}
[0.001715] (-) JobUnselected: {'identifier': 'autoware_driveworks_interface'}
[0.001770] (-) JobUnselected: {'identifier': 'autoware_external_msgs'}
[0.001800] (-) JobUnselected: {'identifier': 'autoware_health_checker'}
[0.001828] (-) JobUnselected: {'identifier': 'autoware_lanelet2_msgs'}
[0.001855] (-) JobUnselected: {'identifier': 'autoware_launcher'}
[0.001882] (-) JobUnselected: {'identifier': 'autoware_launcher_rviz'}
[0.001909] (-) JobUnselected: {'identifier': 'autoware_map_msgs'}
[0.001935] (-) JobUnselected: {'identifier': 'autoware_msgs'}
[0.001962] (-) JobUnselected: {'identifier': 'autoware_pointgrey_drivers'}
[0.001992] (-) JobUnselected: {'identifier': 'autoware_quickstart_examples'}
[0.002019] (-) JobUnselected: {'identifier': 'autoware_rviz_plugins'}
[0.002045] (-) JobUnselected: {'identifier': 'autoware_system_msgs'}
[0.002072] (-) JobUnselected: {'identifier': 'calibration_publisher'}
[0.002099] (-) JobUnselected: {'identifier': 'carla_autoware_bridge'}
[0.002125] (-) JobUnselected: {'identifier': 'citysim'}
[0.002152] (-) JobUnselected: {'identifier': 'costmap_generator'}
[0.002179] (-) JobUnselected: {'identifier': 'custom_msgs'}
[0.002206] (-) JobUnselected: {'identifier': 'data_preprocessor'}
[0.002238] (-) JobUnselected: {'identifier': 'decision_maker'}
[0.002263] (-) JobUnselected: {'identifier': 'decision_maker_panel'}
[0.002286] (-) JobUnselected: {'identifier': 'detected_objects_visualizer'}
[0.002308] (-) JobUnselected: {'identifier': 'dp_planner'}
[0.002364] (-) JobUnselected: {'identifier': 'ds4'}
[0.002387] (-) JobUnselected: {'identifier': 'ds4_driver'}
[0.002403] (-) JobUnselected: {'identifier': 'ds4_msgs'}
[0.002423] (-) JobUnselected: {'identifier': 'ekf_localizer'}
[0.002439] (-) JobUnselected: {'identifier': 'emergency_handler'}
[0.002510] (-) JobUnselected: {'identifier': 'fastvirtualscan'}
[0.002527] (-) JobUnselected: {'identifier': 'ff_waypoint_follower'}
[0.002548] (-) JobUnselected: {'identifier': 'freespace_planner'}
[0.002564] (-) JobUnselected: {'identifier': 'garmin'}
[0.002588] (-) JobUnselected: {'identifier': 'gazebo_camera_description'}
[0.002620] (-) JobUnselected: {'identifier': 'gazebo_imu_description'}
[0.002663] (-) JobUnselected: {'identifier': 'gazebo_world_description'}
[0.002685] (-) JobUnselected: {'identifier': 'glviewer'}
[0.002701] (-) JobUnselected: {'identifier': 'gnss'}
[0.002720] (-) JobUnselected: {'identifier': 'gnss_localizer'}
[0.002735] (-) JobUnselected: {'identifier': 'graph_tools'}
[0.002751] (-) JobUnselected: {'identifier': 'hokuyo'}
[0.002810] (-) JobUnselected: {'identifier': 'image_processor'}
[0.002831] (-) JobUnselected: {'identifier': 'imm_ukf_pda_track'}
[0.002847] (-) JobUnselected: {'identifier': 'integrated_viewer'}
[0.002862] (-) JobUnselected: {'identifier': 'javad_navsat_driver'}
[0.002878] (-) JobUnselected: {'identifier': 'kitti_box_publisher'}
[0.002895] (-) JobUnselected: {'identifier': 'kitti_launch'}
[0.002911] (-) JobUnselected: {'identifier': 'kitti_player'}
[0.002927] (-) JobUnselected: {'identifier': 'kvaser'}
[0.002942] (-) JobUnselected: {'identifier': 'lane_planner'}
[0.002969] (-) JobUnselected: {'identifier': 'lanelet2'}
[0.003011] (-) JobUnselected: {'identifier': 'lanelet2_core'}
[0.003033] (-) JobUnselected: {'identifier': 'lanelet2_examples'}
[0.003054] (-) JobUnselected: {'identifier': 'lanelet2_extension'}
[0.003069] (-) JobUnselected: {'identifier': 'lanelet2_io'}
[0.003301] (-) JobUnselected: {'identifier': 'lanelet2_maps'}
[0.003331] (-) JobUnselected: {'identifier': 'lanelet2_projection'}
[0.003375] (-) JobUnselected: {'identifier': 'lanelet2_python'}
[0.003397] (-) JobUnselected: {'identifier': 'lanelet2_routing'}
[0.003414] (-) JobUnselected: {'identifier': 'lanelet2_traffic_rules'}
[0.003427] (-) JobUnselected: {'identifier': 'lanelet2_validation'}
[0.003440] (-) JobUnselected: {'identifier': 'lanelet_aisan_converter'}
[0.003455] (-) JobUnselected: {'identifier': 'lattice_planner'}
[0.003470] (-) JobUnselected: {'identifier': 'lgsvl'}
[0.003483] (-) JobUnselected: {'identifier': 'lgsvl_simulator_bridge'}
[0.003495] (-) JobUnselected: {'identifier': 'libvectormap'}
[0.003510] (-) JobUnselected: {'identifier': 'libwaypoint_follower'}
[0.003523] (-) JobUnselected: {'identifier': 'lidar_apollo_cnn_seg_detect'}
[0.003536] (-) JobUnselected: {'identifier': 'lidar_fake_perception'}
[0.003550] (-) JobUnselected: {'identifier': 'lidar_kf_contour_track'}
[0.003565] (-) JobUnselected: {'identifier': 'lidar_localizer'}
[0.003578] (-) JobUnselected: {'identifier': 'lidar_naive_l_shape_detect'}
[0.003590] (-) JobUnselected: {'identifier': 'lidar_point_pillars'}
[0.003604] (-) JobUnselected: {'identifier': 'lidar_shape_estimation'}
[0.003629] (-) JobUnselected: {'identifier': 'log_tools'}
[0.003650] (-) JobUnselected: {'identifier': 'map_file'}
[0.003673] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.003810] (-) JobUnselected: {'identifier': 'map_tools'}
[0.003840] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.003885] (-) JobUnselected: {'identifier': 'memsic_imu'}
[0.003908] (-) JobUnselected: {'identifier': 'microstrain_driver'}
[0.003924] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.003945] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.003960] (-) JobUnselected: {'identifier': 'mrt_cmake_modules'}
[0.004059] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.004086] (-) JobUnselected: {'identifier': 'multi_vlp_combiner'}
[0.004128] (-) JobUnselected: {'identifier': 'multi_vlp_converter'}
[0.004150] (-) JobUnselected: {'identifier': 'multi_vlp_driver'}
[0.004165] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.004186] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.004202] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.004222] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.004331] (-) JobUnselected: {'identifier': 'nmea_navsat'}
[0.004364] (-) JobUnselected: {'identifier': 'obj_db'}
[0.004381] (-) JobUnselected: {'identifier': 'object_map'}
[0.004408] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.004424] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.004446] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.004977] (-) JobUnselected: {'identifier': 'op_planner'}
[0.005075] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.005116] (-) JobUnselected: {'identifier': 'op_simu'}
[0.005145] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.005172] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.005199] (-) JobUnselected: {'identifier': 'op_utility'}
[0.005228] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.005261] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.005296] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.005335] (-) JobUnselected: {'identifier': 'points2image'}
[0.005371] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.005412] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.005441] (-) JobUnselected: {'identifier': 'pos_db'}
[0.005467] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.005494] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.005521] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.005548] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.005575] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.005601] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.005628] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.005659] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.005692] (-) JobUnselected: {'identifier': 'sick_ldmrs_description'}
[0.005738] (-) JobUnselected: {'identifier': 'sick_ldmrs_driver'}
[0.005761] (-) JobUnselected: {'identifier': 'sick_ldmrs_laser'}
[0.005776] (-) JobUnselected: {'identifier': 'sick_ldmrs_msgs'}
[0.005796] (-) JobUnselected: {'identifier': 'sick_ldmrs_tools'}
[0.005812] (-) JobUnselected: {'identifier': 'sick_lms5xx'}
[0.005877] (-) JobUnselected: {'identifier': 'sound_player'}
[0.005895] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.005911] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.005932] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.005948] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.005972] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.005996] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.006022] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.006065] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.006087] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.006103] (-) JobUnselected: {'identifier': 'vectacam'}
[0.006123] (-) JobUnselected: {'identifier': 'vector_map'}
[0.006138] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.006197] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.006219] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.006234] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.006251] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.006267] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.006284] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.006300] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.006316] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.006343] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.006385] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.006407] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.006422] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.006441] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.006457] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.006473] (-) JobUnselected: {'identifier': 'vlg22c_cam'}
[0.006706] (-) JobUnselected: {'identifier': 'way_planner'}
[0.006870] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.006937] (-) JobUnselected: {'identifier': 'waypoint_planner'}
[0.007005] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.007054] (-) JobUnselected: {'identifier': 'xsens_driver'}
[0.007113] (-) JobUnselected: {'identifier': 'ymc'}
[0.007154] (lidar_euclidean_cluster_detect) JobQueued: {'identifier': 'lidar_euclidean_cluster_detect', 'dependencies': OrderedDict([('autoware_build_flags', '/home/hypark/git/Autoware_On_Embedded/install/autoware_build_flags'), ('autoware_msgs', '/home/hypark/git/Autoware_On_Embedded/install/autoware_msgs'), ('vector_map_msgs', '/home/hypark/git/Autoware_On_Embedded/install/vector_map_msgs'), ('vector_map', '/home/hypark/git/Autoware_On_Embedded/install/vector_map'), ('vector_map_server', '/home/hypark/git/Autoware_On_Embedded/install/vector_map_server')])}
[0.007922] (lidar_euclidean_cluster_detect) JobStarted: {'identifier': 'lidar_euclidean_cluster_detect'}
[0.027354] (lidar_euclidean_cluster_detect) JobProgress: {'identifier': 'lidar_euclidean_cluster_detect', 'progress': 'cmake'}
[0.027807] (lidar_euclidean_cluster_detect) JobProgress: {'identifier': 'lidar_euclidean_cluster_detect', 'progress': 'build'}
